ريزپردازنده (میکروپروسسور),8101207,1,3,دکتر فاطمی,25818,16070,9-10.5,,9-10.5,,,,96/10/27 صبح,مدارهای منطقی,90
الکترونيک دیجیتال,8101445,1,3,دکتر کمال,30584,16123,,10.5-12,,10.5-12,,,96/10/28 صبح,مبانی مایکروالکترونیک یا *الکترونیک1+الکترونیک2,50
طراحی به کمک کامپيوتر CAD,8101536,1,3,دکتر مدرسی,29929,16111,10.5-12,,10.5-12,,,,96/10/25 صبح,ریزپردازنده,30
طراحی به کمک کامپيوتر CAD,8101536,1,3,دکتر صالحی,29991,16114,16-17.5,,16-17.5,,,,96/10/25 صبح,ریزپردازنده,30
نمونه سازی سریع سیستم های کامپيوتری,8101228,1,3,دکتر صالحی,29991,16114,14-15.5,,14-15.5,,,,96/10/25 عصر,معماری کامپيوتر,30
برنامه سازی موازی,8101761,1,3,دکتر صفری,26932,16084,10.5-12,,10.5-12,,,,96/10/25 صبح,معماری کامپيوتر و برنامه نویسی پیشرفته,35
آزمايشگاه فناوري اطلاعات,8101700,1,1,دکتر تقی یاره,25821,16071,,,,,8-11,,,مباني فناوري اطلاعات,12
آزمايشگاه مولتي مديا,8101711,1,1,دكتر هاشمي,26909,16082,,,,,8-11,,,مولتي مديا,12
اقتصاد مهندسی,8101675,1,3,مهندس آزادنيا,326215,18251,7.5-9,,7.5-9,,,,96/10/27 عصر,"۳۰نفر IT , اولویت با ورودی ۹۲",40
اقتصاد مهندسی,8101675,2,3,مهندس عراقچی, ,16143,,7.5-9,,7.5-9,,,96/10/27 عصر,,50
مباني كار آفريني,8101703,1,2,دکتر زعفریان,309990,18276,,14-16,,,,,96/10/27 صبح,,40
یادگیری الکترونیکی,8101989,1,3,مهندس خراط, ,16136,,16-17.5,,16-17.5,,,96/10/23 عصر,,30
اصول و مبانی مدیریت,8101674,1,3,دکتر ابویی, ,18340,,"16-17,5",,"16-17,5",,,96/11/03 عصر,"۳۰نفر IT , اولویت با ورودی ۹۲",40
